"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D3,D1";"LED_D3.0mm";2;"LED";;;
2;"C8,C9,C11,C10,C1";"CP_Radial_D5.0mm_P2.50mm";5;"10uf";;;
3;"RN1";"R_Array_SIP9";1;"10k";;;
4;"U1";"DIP_Socket-40_W11.9mm_W12.7mm_W15.24mm_W17.78mm_W18.5mm_3M_240-1280-00-0602J";1;"P8051AH";;;
5;"R4,R5,R6,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"8K2";;;
6;"J6,J8";"IDC-Header_2x10_P2.54mm_Vertical";2;"Conn_02x10_Odd_Even";;;
7;"SW2";"SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm";1;"SW_SPDT";;;
8;"J9";"USB_B_Lumberg_2411_02_Horizontal";1;"USB_B";;;
9;"J2,J4,J3,J5";"IDC-Header_2x05_P2.54mm_Vertical";4;"Conn_02x05_Odd_Even";;;
10;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
11;"J1";"BarrelJack_Horizontal";1;"Jack-DC";;;
12;"C12,C13";"C_Disc_D7.5mm_W2.5mm_P5.00mm";2;"0.1uf";;;
13;"C3,C2";"C_Disc_D6.0mm_W2.5mm_P5.00mm";2;"33pf";;;
14;"C4";"CP_Radial_D8.0mm_P5.00mm";1;"470uf/25V";;;
15;"SW4,SW3,SW1";"SW_PUSH_6mm";3;"SW_Push";;;
16;"L1";"L_0805_2012Metric";1;"10uh";;;
17;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
18;"C6";"CP_Radial_D6.3mm_P2.50mm";1;"100uf/63V";;;
19;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
20;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"330";;;
21;"C7";"C_Disc_D7.0mm_W2.5mm_P5.00mm";1;"0.1uf";;;
22;"C5";"C_Disc_D7.5mm_W2.5mm_P5.00mm";1;"1.0uf";;;
23;"R7";"R_0805_2012Metric";1;"8K2";;;
24;"J7";"DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"DE9_Pins";;;
25;"D2";"Diode_Bridge_Round_D9.8mm";1;"W01G";;;
26;"U2";"TO-220-3_Vertical";1;"L7805";;;
27;"U4";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
28;"J11";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
29;"U3";"SMDIP-16_W7.62mm";1;"MAX232";;;
