"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D2,D3,D7,D4,D8,D1,D6,D5";"LED_D3.0mm";8;"LED";;;
2;"U5,U3,U2,U6,U7,U8,U1,U4";"DIP-4_W7.62mm";8;"PC817";;;
3;"J5,J7,J8,J4,J9,J6";"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal";6;"Screw_Terminal_01x03";;;
4;"D16,D9,D15,D11,D12,D13,D10,D14";"D_DO-41_SOD81_P10.16mm_Horizontal";8;"1N4007";;;
5;"R15,R18,R20,R24,R13,R21,R23,R16,R22,R9,R17,R19,R14,R10,R11,R12";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";16;"1k";;;
6;"R30,R2,R3,R8,R4,R5,R7,R1,R6";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";9;"330";;;
7;"BZ1";"MagneticBuzzer_ProSignal_ABT-410-RC";1;"Buzzer";;;
8;"K7,K5,K3,K8,K4,K2,K1,K6";"Relay_SPDT_SANYOU_SRD_Series_Form_C";8;"SANYOU_SRD_Form_C";;;
9;"Q6,Q1,Q8,Q5,Q2,Q3,Q4,Q7";"TO-92_Inline";8;"BC547";;;
10;"C2";"C_Rect_L31.5mm_W11.0mm_P27.50mm_MKS4";1;"2.2uf/250V";;;
11;"R25";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";1;"100 (1/2, 1)W";;;
12;"C4";"C_Radial_D16.0mm_H25.0mm_P7.50mm";1;"4700u";;;
13;"R28,R26";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";2;"220k 1/4W";;;
14;"PS1";"Converter_ACDC_Hi-Link_HLK-10Mxx";1;"HLK-10M05";;;
15;"F2,F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";2;"250VAC/250mA";;;
16;"D17,D18";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N5819";;;
17;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
18;"R29,R27";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";2;"2.2u/1/2W";;;
19;"C1";"C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3";1;"0.1µF X2 275VAC";;;
20;"J1,J2";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08_Socket";;;
21;"C3";"C_Rect_L31.5mm_W11.0mm_P27.50mm_MKS4";1;"3.3uf/250V";;;
22;"RV1,RV2";"RV_Disc_D16.5mm_W6.7mm_P7.5mm";2;"471k";;;
